Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: accountName,Spreadsheet: postText,Spreadsheet: postImage,Spreadsheet: accountimage,Spreadsheet: commentnum,Spreadsheet: sharenum,Spreadsheet: reactionum,Spreadsheet: like,Spreadsheet: heart,Spreadsheet: laugh,Spreadsheet: surprise,Spreadsheet: sad,Spreadsheet: disgust,Spreadsheet: angry,Spreadsheet: commentacc1,Spreadsheet: comment1,Spreadsheet: item,Spreadsheet: randomise,Spreadsheet: type
11,1758798882745,25/09/2025 11:14:42,1758798882745,1,25/09/2025 12:14:42,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,9,post_single,Screen 1,yruilm,1,continue,,2823.2000000003754,2817,2823.2000000003754,2823.2000000003754,2817,2823.2000000003754,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,nasa,"Launching later this month, two new NASA missions will study bursts of solar energy that can impact technology and astronauts exploring space.

When the Sun’s magnetic fields reconnect and create a solar flare, it sends out streams of charged particles. NASA’s Interstellar Mapping and Acceleration Probe, or IMAP, will track this solar wind as it reaches the boundaries of the solar system and interacts with the local galactic neighborhood beyond.

IMAP will also be able to help provide real-time observations of the solar wind as it approaches Earth, providing about a half-hour’s warning of harmful radiation for spacecraft and astronauts. As Artemis astronauts venture beyond Earth’s magnetic protection to the Moon and Mars, IMAP’s data becomes ever more crucial to fill in missing puzzle pieces that will help mission planners predict and mitigate the effects of space weather.

It will share a ride to space with NASA’s Carruthers Geocorona Observatory. Carruthers will use its post nearly a million miles from Earth to view the exosphere, our home planet’s outermost atmospheric layer that plays a role in space weather.",nasa.png,nasaID.png,337,957,202,125,32,,45,,,,,,nasa,1,filler
12,1758798885467,25/09/2025 11:14:45,1758798885467,1,25/09/2025 12:14:45,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,10,post_single,Screen 1,yruilm,1,continue,,2728.2000000003754,2716.800000000003,2728.2000000003754,2728.2000000003754,2716.800000000003,2728.2000000003754,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,HistoryFeels,"Nine days after Star Wars opened in 1977, Alec Guinness (Obi-Wan Kenobi) wrote in his diary: ‘Am pinning my hopes on Star Wars percentage which could bring me £100K or more if it does Jaws business, as predicted.’ He ended up earning an estimated $95 million for what amounted to 20 minutes of screen time.
When Star Wars premiered in May 1977, even its cast and crew had little idea of the cultural juggernaut it would become. Alec Guinness, already an accomplished actor with an Academy Award to his name, viewed his role as Obi-Wan Kenobi with some skepticism. In fact, he reportedly found some of the dialogue clunky and even doubted whether the film would resonate with audiences. Yet, shrewdly, Guinness negotiated a deal that included a small percentage of the film’s profits—something highly unusual at the time for an actor in his position.
Just nine days after the movie’s release, Guinness confided in his diary that he was hopeful the percentage might yield him around £100,000 if the film managed to perform like Spielberg’s Jaws. What unfolded was beyond his imagination: Star Wars exploded into a worldwide phenomenon, earning hundreds of millions and spawning a multi-decade franchise. Guinness’s share ultimately netted him an estimated $95 million over the years for less than half an hour of actual screen time.
His decision remains one of the most legendary deals in Hollywood history—a testament to foresight, negotiation, and a little bit of luck. Obi-Wan Kenobi became not only an iconic character but also a financial windfall Guinness could never have predicted.",star wars image.jpg,starwars ID.png,4,76,100,45,,,55,,,,,,starwars,1,filler
13,1758798888171,25/09/2025 11:14:48,1758798888171,1,25/09/2025 12:14:48,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,11,post_single,Screen 1,yruilm,1,continue,,2715.199999999997,2699.699999999997,2715.199999999997,2715.199999999997,2699.699999999997,2715.199999999997,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,history of the World,"On an ordinary summer morning in 2005, a bored and restless Canadian named Kyle MacDonald sat at his desk, staring at a small red paperclip lying nearby. Out of nowhere, a wild, ridiculous idea struck him: *“What if I could trade this paperclip… and keep trading up until I get a house?”* His heart pounded. He laughed at the absurdity—but then decided to give it a try.
His first trade was simple: he posted a photo of the red paperclip online and someone offered him a novelty fish-shaped pen in exchange. That pen led to a hand-sculpted doorknob, then a camping stove, then a generator, and eventually a snowmobile. As his trades gained attention, people from across the internet followed his journey, and the offers became more bizarre and exciting. At one point, he traded for a recording contract, then for a role in an actual Hollywood film.
Finally, after just 14 trades, the town of Kipling in Saskatchewan made him an unbelievable offer: *“Give us the movie role, and we’ll give you a house.”* Kyle accepted—and moved into his new home, keys in hand. What began as a joke became an internet legend. He wrote a book called *One Red Paperclip""* and inspired millions with his creative thinking and fearless ambition. Sometimes, all it takes to change your life is a tiny red paperclip—and the courage to start your own crazy game.""",paperclip pic.png,paperclip ID.png,23,13,55,55,,,,,,,,,swaps,1,filler
14,1758798889801,25/09/2025 11:14:49,1758798889801,1,25/09/2025 12:14:49,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,12,post_single,Screen 1,yruilm,1,continue,,1645.400000001493,1634.6000000000058,1645.400000001493,1645.400000001493,1634.6000000000058,1645.400000001493,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,zachking,Guess the top speed of the Japanese bullet train!,train-ezgif.com-loop-count.gif,train.png,78,14539,547,322,,225,,,,,,,train,1,filler
15,1758798892877,25/09/2025 11:14:52,1758798892877,1,25/09/2025 12:14:52,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,13,post_single,Screen 1,yruilm,1,continue,,3087.4000000011147,3083.399999999994,3087.4000000011147,3087.4000000011147,3083.399999999994,3087.4000000011147,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,davidbeckham,Great evening with great company 🏆 @stellaartois 🍺 @arynasabalenka @nickjonas @rachelbrosnahan @mariasharapova,beckham.png,beckhamID.png,7868,2344,2480,2453,12,1,,14,,,,,beckham,1,filler
16,1758798894331,25/09/2025 11:14:54,1758798894331,1,25/09/2025 12:14:54,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,14,post_single,Screen 1,yruilm,1,continue,,1457.5000000011205,1450.7000000000044,1457.5000000011205,1457.5000000011205,1450.7000000000044,1457.5000000011205,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,Washington Post,"Former president Barack Obama and former first lady Michelle Obama addressed speculation about a divorce in her new podcast episode. ""She took me back!"" Barack Obama joked. ""It was touch and go for awhile!""",filler_ob.jpg,wp.jpg,45,243,0,212,,,,,,,susanspec,Michelle for prez!!,washpo,1,filler
17,1758798896132,25/09/2025 11:14:56,1758798896132,1,25/09/2025 12:14:56,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,15,post_single,Screen 1,yruilm,1,continue,,1808.4000000007436,1800,1808.4000000007436,1808.4000000007436,1800,1808.4000000007436,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,lyrics art,,lyricsPic.png,lyricsID.png,2,5,3,2,1,,,,,,,,lyrics,1,filler
18,1758798908938,25/09/2025 11:15:08,1758798908938,1,25/09/2025 12:15:08,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,Spreadsheet1,16,post_single,Screen 1,yruilm,1,continue,,12814.300000001116,12802.400000000001,12814.300000001116,12814.300000001116,12802.400000000001,12814.300000001116,1,0,0,,Click To Continue,Continue Button,2,object-18,post_single,daily_hack_zone,Cooking secret 🤫 #KitchenHack #LifeHacks #WhiskTrick #SmartTips #EverydayHacks#cooking #momhacks,avo.gif,avoID.png,6,77483,3,3,,,,,,,lia_m,Great - if you can find a ripe one!,avocado,1,filler
19,1758798908941,25/09/2025 11:15:08,1758798908941,1,25/09/2025 12:15:08,239176,3,task-qm8h,,49415509,BLINDED,14139661,,complete,,68d523c37e6f176e3497efe8,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 138.0.0.0,1440x900,1440x754,,,0,T1 social media,11,Spreadsheet1,,,,,,,info,END,,,70970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1758798997188,25/09/2025 11:16:37,1758798997188,1,25/09/2025 12:16:37,239176,3,task-qm8h,,49415601,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,T1 social media,11,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
