"","pid","trial","datetime","type","item","exposure_time","use","react_(clear)","react_angry","react_disgust","react_heart","react_laugh","react_like","react_sad","react_surprise","react","share","comment","comment_made"
"47","14139663",15,"25/09/2025 12:28:55","filler","puppy",40064.8,TRUE,1,0,0,2,0,0,0,0,2,1,NA,0
"48","14139663",16,"25/09/2025 12:29:20","filler","beckham",25222.4999999988,TRUE,0,0,1,0,0,0,0,0,1,0,NA,0
"49","14139664",1,"25/09/2025 12:17:36","filler","fish",88567.9000000089,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"50","14139664",2,"25/09/2025 12:17:53","filler","watch",16862.000000003,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"51","14139664",3,"25/09/2025 12:18:26","filler","jewellery",33353.7000000089,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"52","14139664",4,"25/09/2025 12:18:41","filler","puppy",14333.4,TRUE,0,0,0,0,1,0,0,0,1,1,NA,0
"53","14139664",5,"25/09/2025 12:18:54","filler","pizza",13009.499999997,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"54","14139664",6,"25/09/2025 12:19:34","filler","natgeo",40038.899999997,TRUE,0,0,0,0,0,1,0,0,1,1,NA,0
"55","14139664",7,"25/09/2025 12:20:45","filler","starwars",71602,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"56","14139664",8,"25/09/2025 12:21:26","trees","trees",40616.999999997,TRUE,0,0,0,0,0,1,0,0,1,1,NA,0
"57","14139664",9,"25/09/2025 12:22:30","filler","nasa",64445.400000003,TRUE,0,0,0,0,0,0,0,0,0,1,NA,0
"58","14139664",10,"25/09/2025 12:22:37","filler","train",6405.00000000297,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"59","14139664",11,"25/09/2025 12:22:57","filler","avocado",20032.700000003,TRUE,0,0,0,1,0,0,0,0,1,1,NA,0
"60","14139664",12,"25/09/2025 12:23:09","filler","lyrics",12337.700000003,TRUE,0,0,0,0,0,1,0,0,1,0,NA,0
"61","14139664",13,"25/09/2025 12:23:21","filler","yacht",11596.499999997,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"62","14139664",14,"25/09/2025 12:23:32","filler","washpo",11441.8,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"63","14139664",15,"25/09/2025 12:23:36","filler","swaps",4366.09999999701,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"64","14139664",16,"25/09/2025 12:23:46","filler","beckham",9852.20000000298,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"65","14139665",1,"25/09/2025 12:15:25","filler","washpo",16234.6999999046,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"66","14139665",2,"25/09/2025 12:16:18","filler","starwars",53260.1999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"67","14139665",3,"25/09/2025 12:16:25","filler","jewellery",6968.09999990463,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"68","14139665",4,"25/09/2025 12:17:26","filler","swaps",61030.9999999046,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"69","14139665",5,"25/09/2025 12:18:54","filler","nasa",87252.4000000954,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"70","14139665",6,"25/09/2025 12:19:00","filler","lyrics",5879.89999999999,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"71","14139665",7,"25/09/2025 12:19:03","filler","beckham",3662.39999990462,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"72","14139665",8,"25/09/2025 12:19:31","trees","trees",27745.6000000477,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"73","14139665",9,"25/09/2025 12:20:11","filler","fish",39721.4,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"74","14139665",10,"25/09/2025 12:20:17","filler","watch",6539.60000004771,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"75","14139665",11,"25/09/2025 12:20:35","filler","train",18004.2000000954,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
"76","14139665",12,"25/09/2025 12:20:46","filler","puppy",11132.8999999523,TRUE,0,0,0,0,0,0,0,0,0,0,NA,0
