Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Manipulation: Spreadsheet,Current Spreadsheet,Trial Number,Display,Screen,Screen ID,Screen Counter,Response Type,Response,Onset Time,Clock Time,Reaction Time,Absolute Onset Time,Absolute Clock Time,Absolute Reaction Time,Correct,Response Duration,Proportion,Tag,Component Name,Object Name,Object Number,Object ID,Spreadsheet: display,Spreadsheet: question,Spreadsheet: correct_answer,Spreadsheet: feedback,randomiser-wisg
5,1758455961313,21/09/2025 11:59,1758459561313,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,next,11068,11051,11068,11068,11051,11068,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"When watering street trees, you can pour water in the soil, down the pipe or into the green bag",true,Watering any of these locations will help our trees,sep_blocks
6,1758455963255,21/09/2025 11:59,1758459563255,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,Screen 2,9ngvmk,1,continue,,1967,1967,1967,1967,1967,1967,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,The remote Kuril Islands are Russian territories ,true,They are located along the Pacific Ring of Fire ,sep_blocks
7,1758455964928,21/09/2025 11:59,1758459564928,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,true,1667,1650,1667,1667,1650,1667,1,0,0,,Click Response,true response,8,object-13,test item,The remote Kuril Islands are Russian territories ,true,They are located along the Pacific Ring of Fire ,sep_blocks
8,1758455966145,21/09/2025 11:59,1758459566145,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,next,2882,2866,2882,2882,2866,2882,0,0,0,,Click Response,Click To Continue,7,object-22,test item,The remote Kuril Islands are Russian territories ,true,They are located along the Pacific Ring of Fire ,sep_blocks
9,1758455968089,21/09/2025 11:59,1758459568089,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,Screen 2,9ngvmk,1,continue,,1967,1967,1967,1967,1967,1967,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence,sep_blocks
10,1758455971278,21/09/2025 11:59,1758459571278,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,test,qfehmk,2,response,false,3184,3167,3184,3184,3167,3184,0,0,0,,Click Response,false response,9,object-11,test item,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence,sep_blocks
11,1758455975829,21/09/2025 11:59,1758459575829,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,test,qfehmk,2,response,next,7733,7717,7733,7733,7717,7733,0,0,0,,Click Response,Click To Continue,7,object-22,test item,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence,sep_blocks
12,1758455977773,21/09/2025 11:59,1758459577773,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,4,test item,Screen 2,9ngvmk,1,continue,,1967,1967,1967,1967,1967,1967,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day,sep_blocks
13,1758455979545,21/09/2025 11:59,1758459579545,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,4,test item,test,qfehmk,2,response,true,1766,1750,1766,1766,1750,1766,0,0,0,,Click Response,true response,8,object-13,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day,sep_blocks
14,1758455983830,21/09/2025 11:59,1758459583830,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,4,test item,test,qfehmk,2,response,next,6051,6034,6051,6051,6034,6051,0,0,0,,Click Response,Click To Continue,7,object-22,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day,sep_blocks
15,1758455985773,21/09/2025 11:59,1758459585773,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,5,test item,Screen 2,9ngvmk,1,continue,,1966,1966,1966,1966,1966,1966,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,"When watering trees, it is safe to use washing up liquid to water trees",true,Washing up liquid won't harm the trees at all,sep_blocks
16,1758455989296,21/09/2025 11:59,1758459589296,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,5,test item,test,qfehmk,2,response,false,3518,3501,3518,3518,3501,3518,0,0,0,,Click Response,false response,9,object-11,test item,"When watering trees, it is safe to use washing up liquid to water trees",true,Washing up liquid won't harm the trees at all,sep_blocks
17,1758455990780,21/09/2025 11:59,1758459590780,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,5,test item,test,qfehmk,2,response,next,5001,4984,5001,5001,4984,5001,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"When watering trees, it is safe to use washing up liquid to water trees",true,Washing up liquid won't harm the trees at all,sep_blocks
18,1758455992723,21/09/2025 11:59,1758459592723,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,6,test item,Screen 2,9ngvmk,1,continue,,1967,1967,1967,1967,1967,1967,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. ",sep_blocks
19,1758455995227,21/09/2025 11:59,1758459595227,1,21/09/2025 13:59,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,6,test item,test,qfehmk,2,response,true,2500,2483,2500,2500,2483,2500,0,0,0,,Click Response,true response,8,object-13,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. ",sep_blocks
20,1758456000264,21/09/2025 12:00,1758459600264,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,6,test item,test,qfehmk,2,response,next,7534,7517,7534,7534,7517,7534,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"In the first of a series of swaps, Kyle traded a red paper-clip for a pair of flip flops",false,"His first swap was for a novelty pen, and his last was for a house. ",sep_blocks
21,1758456002207,21/09/2025 12:00,1758459602207,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,7,test item,Screen 2,9ngvmk,1,continue,,1967,1967,1967,1967,1967,1967,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
22,1758456005513,21/09/2025 12:00,1758459605513,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,7,test item,test,qfehmk,2,response,true,3300,3283,3300,3300,3283,3300,0,0,0,,Click Response,true response,8,object-13,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
23,1758456006997,21/09/2025 12:00,1758459606997,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,7,test item,test,qfehmk,2,response,next,4782,4766,4782,4782,4766,4782,0,0,0,,Click Response,Click To Continue,7,object-22,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
24,1758456008941,21/09/2025 12:00,1758459608941,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,8,test item,Screen 2,9ngvmk,1,continue,,1967,1967,1967,1967,1967,1967,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
25,1758456011464,21/09/2025 12:00,1758459611464,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,8,test item,test,qfehmk,2,response,false,2516,2500,2516,2516,2500,2516,1,0,0,,Click Response,false response,9,object-11,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
26,1758456014231,21/09/2025 12:00,1758459614231,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,8,test item,test,qfehmk,2,response,next,5284,5267,5284,5284,5267,5284,0,0,0,,Click Response,Click To Continue,7,object-22,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
27,1758456014233,21/09/2025 12:00,1758459614233,1,21/09/2025 14:00,238955,3,task-3rn9,,49329897,BLINDED,14114618,,complete,,68cfe64d4d1c27f5febfb81c,mobile,Apple iPhone,iOS 18.6.2,Mobile Safari 18.6,375x667,375x547,,,0,Memory Test,5,Spreadsheet1,,,,,,,info,END,,,69508,,,,,,,,,,,,,,,,sep_blocks
1,1758456595400,21/09/2025 12:09,1758460195400,1,21/09/2025 14:09,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,,,,,,,info,BEGIN,,,,,,,,,,,,,,,,,,,sep_blocks
2,1758456598769,21/09/2025 12:09,1758460198769,1,21/09/2025 14:09,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,instructions,instr,fd1y9j,1,continue,,3375.138000047684,3373.8379999999997,3375.138000047684,3375.138000047684,3373.8379999999997,3375.138000047684,1,0,0,,Click To Continue,Continue Button,2,object-21,instructions,,,,sep_blocks
3,1758456600749,21/09/2025 12:10,1758460200749,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,Screen 2,9ngvmk,1,continue,,1980.6000000000004,1980.6000000000004,1980.6000000000004,1980.6000000000004,1980.6000000000004,1980.6000000000004,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
4,1758456605298,21/09/2025 12:10,1758460205298,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,false,4549.5,4540.6,4549.5,4549.5,4540.6,4549.5,1,0,0,,Click Response,false response,9,object-11,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
5,1758456610249,21/09/2025 12:10,1758460210249,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,1,test item,test,qfehmk,2,response,next,9500.700000047684,9491.7,9500.700000047684,9500.700000047684,9491.7,9500.700000047684,0,0,0,,Click Response,Click To Continue,7,object-22,test item,It is best to water trees when its hot in the middle of the day,false,"Anytime will help, but it's best to water trees in the cooler part of the day, during the morning or evening",sep_blocks
6,1758456612221,21/09/2025 12:10,1758460212221,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,Screen 2,9ngvmk,1,continue,,1980.2000000000007,1980.2000000000007,1980.2000000000007,1980.2000000000007,1980.2000000000007,1980.2000000000007,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,"When watering street trees, you can pour water in the soil, down the pipe or into the green bag",true,Watering any of these locations will help our trees,sep_blocks
7,1758456620577,21/09/2025 12:10,1758460220577,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,true,8357.000000035761,8351.699999999997,8357.000000035761,8357.000000035761,8351.699999999997,8357.000000035761,1,0,0,,Click Response,true response,8,object-13,test item,"When watering street trees, you can pour water in the soil, down the pipe or into the green bag",true,Watering any of these locations will help our trees,sep_blocks
8,1758456623073,21/09/2025 12:10,1758460223073,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,2,test item,test,qfehmk,2,response,next,10852.800000047682,10852.199999999997,10852.800000047682,10852.800000047682,10852.199999999997,10852.800000047682,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"When watering street trees, you can pour water in the soil, down the pipe or into the green bag",true,Watering any of these locations will help our trees,sep_blocks
9,1758456625053,21/09/2025 12:10,1758460225053,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,Screen 2,9ngvmk,1,continue,,1980.4000000000015,1980.4000000000015,1980.4000000000015,1980.4000000000015,1980.4000000000015,1980.4000000000015,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence,sep_blocks
10,1758456628113,21/09/2025 12:10,1758460228113,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,test,qfehmk,2,response,true,3060.2000000476837,3050.5999999999985,3060.2000000476837,3060.2000000476837,3050.5999999999985,3060.2000000476837,1,0,0,,Click Response,true response,8,object-13,test item,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence,sep_blocks
11,1758456630161,21/09/2025 12:10,1758460230161,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,3,test item,test,qfehmk,2,response,next,5108.300000011921,5100.9000000000015,5108.300000011921,5108.300000011921,5100.9000000000015,5108.300000011921,0,0,0,,Click Response,Click To Continue,7,object-22,test item,Obi-Wan Kenobi only appears for 20 mins in Star Wars in the original Star Wars movie,true,The actor Alex Guinnes ended up earning an estimated $95 million from his appearence,sep_blocks
12,1758456632134,21/09/2025 12:10,1758460232134,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,4,test item,Screen 2,9ngvmk,1,continue,,1980.4000000000015,1980.4000000000015,1980.4000000000015,1980.4000000000015,1980.4000000000015,1980.4000000000015,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,"When watering trees, it is safe to use washing up liquid to water trees",true,Washing up liquid won't harm the trees at all,sep_blocks
13,1758456635009,21/09/2025 12:10,1758460235009,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,4,test item,test,qfehmk,2,response,false,2875.199999999997,2870.5,2875.199999999997,2875.199999999997,2870.5,2875.199999999997,0,0,0,,Click Response,false response,9,object-11,test item,"When watering trees, it is safe to use washing up liquid to water trees",true,Washing up liquid won't harm the trees at all,sep_blocks
14,1758456638521,21/09/2025 12:10,1758460238521,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,4,test item,test,qfehmk,2,response,next,6387.199999999997,6381.399999999994,6387.199999999997,6387.199999999997,6381.399999999994,6387.199999999997,0,0,0,,Click Response,Click To Continue,7,object-22,test item,"When watering trees, it is safe to use washing up liquid to water trees",true,Washing up liquid won't harm the trees at all,sep_blocks
15,1758456640496,21/09/2025 12:10,1758460240496,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,5,test item,Screen 2,9ngvmk,1,continue,,1980.300000000003,1980.300000000003,1980.300000000003,1980.300000000003,1980.300000000003,1980.300000000003,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,The remote Kuril Islands are Russian territories ,true,They are located along the Pacific Ring of Fire ,sep_blocks
16,1758456642305,21/09/2025 12:10,1758460242305,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,5,test item,test,qfehmk,2,response,true,1809.6000000238419,1800.199999999997,1809.6000000238419,1809.6000000238419,1800.199999999997,1809.6000000238419,1,0,0,,Click Response,true response,8,object-13,test item,The remote Kuril Islands are Russian territories ,true,They are located along the Pacific Ring of Fire ,sep_blocks
17,1758456644217,21/09/2025 12:10,1758460244217,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,5,test item,test,qfehmk,2,response,next,3721.2000000476837,3720.5999999999985,3721.2000000476837,3721.2000000476837,3720.5999999999985,3721.2000000476837,0,0,0,,Click Response,Click To Continue,7,object-22,test item,The remote Kuril Islands are Russian territories ,true,They are located along the Pacific Ring of Fire ,sep_blocks
18,1758456646197,21/09/2025 12:10,1758460246197,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,6,test item,Screen 2,9ngvmk,1,continue,,1980.5,1980.5,1980.5,1980.5,1980.5,1980.5,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
19,1758456649897,21/09/2025 12:10,1758460249897,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,6,test item,test,qfehmk,2,response,true,3700.4000000000015,3690.7000000000044,3700.4000000000015,3700.4000000000015,3690.7000000000044,3700.4000000000015,0,0,0,,Click Response,true response,8,object-13,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
20,1758456652538,21/09/2025 12:10,1758460252538,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,6,test item,test,qfehmk,2,response,next,6340.700000011922,6331.200000000004,6340.700000011922,6340.700000011922,6331.200000000004,6340.700000011922,0,0,0,,Click Response,Click To Continue,7,object-22,test item,NASA's new IMAP probe will give a new insight into puzzling spots on the surfact of the sun,false,IMAP will measure the streams of charged particle that create solar flares,sep_blocks
21,1758456654509,21/09/2025 12:10,1758460254509,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,7,test item,Screen 2,9ngvmk,1,continue,,1980.199999999997,1980.199999999997,1980.199999999997,1980.199999999997,1980.199999999997,1980.199999999997,1,0,0,,Fixation Timing,Fixation,1,object-27,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day,sep_blocks
22,1758456657514,21/09/2025 12:10,1758460257514,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,7,test item,test,qfehmk,2,response,true,3005.2000000476837,3000.800000000003,3005.2000000476837,3005.2000000476837,3000.800000000003,3005.2000000476837,0,0,0,,Click Response,true response,8,object-13,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day,sep_blocks
23,1758456659169,21/09/2025 12:10,1758460259169,1,21/09/2025 14:10,238955,3,task-3rn9,,49330039,BLINDED,14114621,,complete,,68cfe740d7702b3e52e682af,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,3440x1440,1517x1266,,,0,Memory Test,5,Spreadsheet1,Spreadsheet1,7,test item,test,qfehmk,2,response,next,4660.5,4651,4660.5,4660.5,4651,4660.5,0,0,0,,Click Response,Click To Continue,7,object-22,test item,Young trees need up to 8 litres of water a day,false,Young trees need up to 80 litres of water a day,sep_blocks
