Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,Page,Page ID,Page Counter,Question,Response Type,Key,Response,Tag,OptionOrder,Object Name,Object Number,Object ID
2,1758799290786,25/09/2025 11:21:30,1758799290786,1,25/09/2025 12:21:30,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_find_out,2,object-3
3,1758799290788,25/09/2025 11:21:30,1758799290788,1,25/09/2025 12:21:30,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,trees_water,3,object-5
4,1758799290789,25/09/2025 11:21:30,1758799290789,1,25/09/2025 12:21:30,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_travel,4,object-4
5,1758799290790,25/09/2025 11:21:30,1758799290790,1,25/09/2025 12:21:30,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_watch,5,object-6
6,1758799290792,25/09/2025 11:21:30,1758799290792,1,25/09/2025 12:21:30,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_pizza,6,object-13
7,1758799290793,25/09/2025 11:21:30,1758799290793,1,25/09/2025 12:21:30,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,,info,,4,,,filler_sci,7,object-14
16,1758799321139,25/09/2025 11:22:01,1758799321139,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to find out more about caring for newly planted trees in my local area,response,value,1,,,trees_find_out,2,object-3
17,1758799321139,25/09/2025 11:22:01,1758799321139,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"I will water newly planted trees in my local area, especially during hot and dry weather",response,value,2,,,trees_water,3,object-5
18,1758799321139,25/09/2025 11:22:01,1758799321139,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,"When I plan a holiday, scenery and geography are important to my choices",response,value,7,,,filler_travel,4,object-4
19,1758799321139,25/09/2025 11:22:01,1758799321139,1,25/09/2025 12:22:01,239176,3,questionnaire-jx4p,,49415784,BLINDED,14139662,,complete,,68d523c7a0bac7cdca50a3d0,computer,Desktop or Laptop,Windows 10,Chrome 140.0.0.0,2560x1440,2046x1300,,,0,Behavioural intentions,6,Page 1,uvedb8,1,I plan to buy a smart watch in the next three months,response,value,1,,,filler_watch,5,object-6
